ebn0,fer,ber
0.0,0.35563,0.12812875
0.2,0.32777,0.11684375
0.4,0.30619,0.10817
0.6000000000000001,0.28352,0.09916625
0.8,0.26044,0.0904325
1.0,0.23558,0.08151125
1.2000000000000002,0.21568,0.073195
1.4000000000000001,0.19784,0.06618875
1.6,0.1753,0.0577175
1.8,0.15671,0.05204875
2.0,0.13842,0.0450075
2.2,0.12299,0.039125
2.4000000000000004,0.10782,0.03442375
2.6,0.09325,0.02943125
2.8000000000000003,0.07942,0.0248725
3.0,0.06756,0.02099
3.2,0.05689,0.017435
3.4000000000000004,0.04981,0.0148675
3.6,0.04036,0.01199375
3.8000000000000003,0.03285,0.00983375
4.0,0.02759,0.00824125
4.2,0.02119,0.0060475
4.4,0.01714,0.00488
4.6000000000000005,0.0133,0.003785
4.800000000000001,0.01105,0.00321
5.0,0.00857,0.00236375
